"","s","Freq_mean","group","cols","linetype"
"101",0.1,-0.0258166873371153,"PARY r=0.2","2","Y"
"102",0.2,-0.0429656435072789,"PARY r=0.2","2","Y"
"103",0.3,-0.0614321669856484,"PARY r=0.2","2","Y"
"104",0.4,-0.0683292449418818,"PARY r=0.2","2","Y"
"105",0.5,-0.0670332093951173,"PARY r=0.2","2","Y"
"106",0.6,-0.0739630906795989,"PARY r=0.2","2","Y"
"107",0.7,-0.0758148833155416,"PARY r=0.2","2","Y"
"108",0.8,-0.0792621094621533,"PARY r=0.2","2","Y"
"109",0.9,-0.0787994382176261,"PARY r=0.2","2","Y"
"110",1,-0.0785737876445077,"PARY r=0.2","2","Y"
"111",0.1,-0.0261785465402998,"PARY r=0.4","3","Y"
"112",0.2,-0.043402894228269,"PARY r=0.4","3","Y"
"113",0.3,-0.0616669746170218,"PARY r=0.4","3","Y"
"114",0.4,-0.0621708268893951,"PARY r=0.4","3","Y"
"115",0.5,-0.0627084549901428,"PARY r=0.4","3","Y"
"116",0.6,-0.0624151899590944,"PARY r=0.4","3","Y"
"117",0.7,-0.0628300785121603,"PARY r=0.4","3","Y"
"118",0.8,-0.0585348842940124,"PARY r=0.4","3","Y"
"119",0.9,-0.0602980642094736,"PARY r=0.4","3","Y"
"120",1,-0.0613709062139971,"PARY r=0.4","3","Y"
